epoch,train_loss,validation_loss
210,0.0770018438,0.0910346524
211,0.0769624145,0.0909897983
212,0.0769230981,0.0909450688
213,0.0768838940,0.0909004631
214,0.0768448016,0.0908559807
215,0.0768058203,0.0908116208
216,0.0767669495,0.0907673827
217,0.0767281888,0.0907232659
218,0.0766895375,0.0906792697
219,0.0766509951,0.0906353934
220,0.0766125610,0.0905916364
221,0.0765742347,0.0905479980
222,0.0765360157,0.0905044777
223,0.0764979033,0.0904610748
224,0.0764598971,0.0904177887
225,0.0764219966,0.0903746188
226,0.0763842012,0.0903315644
227,0.0763465104,0.0902886250
228,0.0763089237,0.0902458000
229,0.0762714406,0.0902030887
230,0.0762340605,0.0901604906
231,0.0761967830,0.0901180051
232,0.0761596076,0.0900756316
233,0.0761225338,0.0900333695
234,0.0760855610,0.0899912183
235,0.0760486889,0.0899491774
236,0.0760119168,0.0899072462
237,0.0759752444,0.0898654242
238,0.0759386711,0.0898237108
239,0.0759021966,0.0897821054
240,0.0758658202,0.0897406075
241,0.0758295416,0.0896992166
242,0.0757933603,0.0896579322
243,0.0757572759,0.0896167536
244,0.0757212878,0.0895756803
245,0.0756853957,0.0895347119
246,0.0756495990,0.0894938478
247,0.0756138974,0.0894530875
248,0.0755782905,0.0894124305
249,0.0755427776,0.0893718762
250,0.0755073586,0.0893314242
251,0.0754720328,0.0892910739
252,0.0754368000,0.0892508248
253,0.0754016596,0.0892106765
254,0.0753666112,0.0891706285
255,0.0753316545,0.0891306802
256,0.0752967890,0.0890908312
257,0.0752620144,0.0890510810
258,0.0752273301,0.0890114291
259,0.0751927358,0.0889718750
260,0.0751582312,0.0889324183
261,0.0751238157,0.0888930586
262,0.0750894891,0.0888537952
263,0.0750552509,0.0888146278
264,0.0750211007,0.0887755559
265,0.0749870382,0.0887365791
266,0.0749530629,0.0886976969
267,0.0749191746,0.0886589088
268,0.0748853728,0.0886202145
269,0.0748516571,0.0885816134
270,0.0748180272,0.0885431051
271,0.0747844827,0.0885046893
272,0.0747510232,0.0884663654
273,0.0747176485,0.0884281330
274,0.0746843580,0.0883899917
275,0.0746511515,0.0883519411
276,0.0746180287,0.0883139808
277,0.0745849891,0.0882761103
278,0.0745520324,0.0882383293
279,0.0745191583,0.0882006372
280,0.0744863665,0.0881630338
281,0.0744536565,0.0881255186
282,0.0744210281,0.0880880911
283,0.0743884808,0.0880507511
284,0.0743560145,0.0880134981
285,0.0743236287,0.0879763316
286,0.0742913232,0.0879392514
287,0.0742590975,0.0879022570
288,0.0742269515,0.0878653481
289,0.0741948847,0.0878285242
290,0.0741628968,0.0877917850
291,0.0741309875,0.0877551300
292,0.0740991566,0.0877185590
293,0.0740674036,0.0876820716
294,0.0740357284,0.0876456673
295,0.0740041305,0.0876093458
296,0.0739726097,0.0875731068
297,0.0739411657,0.0875369499
298,0.0739097982,0.0875008746
299,0.0738785068,0.0874648808
300,0.0738472913,0.0874289679
301,0.0738161514,0.0873931357
302,0.0737850868,0.0873573838
303,0.0737540972,0.0873217119
304,0.0737231823,0.0872861196
305,0.0736923419,0.0872506065
306,0.0736615756,0.0872151724
307,0.0736308832,0.0871798169
308,0.0736002643,0.0871445396
309,0.0735697188,0.0871093402
310,0.0735392463,0.0870742184
311,0.0735088466,0.0870391739
312,0.0734785194,0.0870042062
313,0.0734482644,0.0869693152
314,0.0734180813,0.0869345005
315,0.0733879699,0.0868997617
316,0.0733579300,0.0868650986
317,0.0733279612,0.0868305108
318,0.0732980633,0.0867959980
319,0.0732682361,0.0867615599
320,0.0732384792,0.0867271962
321,0.0732087925,0.0866929065
322,0.0731791756,0.0866586907
323,0.0731496284,0.0866245483
324,0.0731201506,0.0865904790
325,0.0730907418,0.0865564827
326,0.0730614020,0.0865225589
327,0.0730321308,0.0864887073
328,0.0730029280,0.0864549278
329,0.0729737933,0.0864212199
330,0.0729447265,0.0863875834
331,0.0729157274,0.0863540180
332,0.0728867958,0.0863205235
333,0.0728579313,0.0862870994
334,0.0728291338,0.0862537457
335,0.0728004031,0.0862204618
336,0.0727717388,0.0861872477
337,0.0727431408,0.0861541030
338,0.0727146089,0.0861210274
339,0.0726861428,0.0860880207
340,0.0726577423,0.0860550826
341,0.0726294071,0.0860222128
342,0.0726011371,0.0859894110
343,0.0725729320,0.0859566770
344,0.0725447917,0.0859240105
345,0.0725167158,0.0858914113
346,0.0724887042,0.0858588791
347,0.0724607567,0.0858264136
348,0.0724328730,0.0857940146
349,0.0724050529,0.0857616818
350,0.0723772963,0.0857294149
351,0.0723496029,0.0856972138
352,0.0723219725,0.0856650781
353,0.0722944049,0.0856330076
354,0.0722668999,0.0856010021
355,0.0722394573,0.0855690612
356,0.0722120769,0.0855371848
357,0.0721847584,0.0855053727
358,0.0721575018,0.0854736245
359,0.0721303067,0.0854419400
360,0.0721031730,0.0854103190
361,0.0720761006,0.0853787613
362,0.0720490891,0.0853472666
363,0.0720221384,0.0853158346
364,0.0719952483,0.0852844652
365,0.0719684187,0.0852531581
366,0.0719416492,0.0852219131
367,0.0719149398,0.0851907300
368,0.0718882903,0.0851596084
369,0.0718617004,0.0851285483
370,0.0718351700,0.0850975493
371,0.0718086989,0.0850666112
372,0.0717822869,0.0850357339
373,0.0717559338,0.0850049171
374,0.0717296394,0.0849741605
375,0.0717034036,0.0849434640
376,0.0716772262,0.0849128273
377,0.0716511069,0.0848822503
